nft_url;; supply;; blockchain;; sale_type;; price;; method;; duration;; specific_buyer;; quantity;; *nft_name
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525142215183826945;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #176
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525165304928010241;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #197
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525004776230354945;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #51
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525249967323348993;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #274
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525237872695443457;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #263
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525259862927998977;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #283
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524957497230360577;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #8
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524980586974543873;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #29
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525027865974538241;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #72
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525049856207093761;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #92
